Stack_Number,Frame_Index,Z_Coordinate
19,4,2959.425
19,0,2955.425
19,1,2956.425
19,3,2958.425
19,6,2961.425
19,5,2960.425
19,2,2957.425
19,7,2962.425
19,8,2963.425
20,6,2961.4
20,0,2955.4
20,1,2956.4
20,2,2957.4
20,5,2960.4
20,3,2958.4
20,4,2959.4
20,8,2963.4
20,7,2962.4
21,5,2960.3
21,4,2959.3
21,3,2958.3
21,2,2957.3
21,7,2962.3
21,0,2955.3
21,6,2961.3
21,1,2956.3
21,8,2963.3
22,0,2955.4
22,1,2956.4
22,2,2957.4
22,3,2958.4
22,4,2959.4
22,5,2960.4
22,6,2961.4
22,7,2962.4
22,8,2963.4
23,5,2960.125
23,8,2963.125
23,7,2962.125
23,6,2961.125
23,4,2959.125
23,0,2955.125
23,2,2957.125
23,1,2956.125
23,3,2958.125
24,8,2963.025
24,6,2961.025
24,7,2962.025
24,4,2959.025
24,5,2960.025
24,2,2957.025
24,1,2956.025
24,0,2955.025
24,3,2958.025
25,8,2962.925
25,6,2960.925
25,7,2961.925
25,4,2958.925
25,5,2959.925
25,2,2956.925
25,1,2955.925
25,0,2954.925
25,3,2957.925
26,8,2962.9500000000003
26,7,2961.9500000000003
26,6,2960.9500000000003
26,5,2959.9500000000003
26,4,2958.9500000000003
26,3,2957.9500000000003
26,1,2955.9500000000003
26,0,2954.9500000000003
26,2,2956.9500000000003
27,5,2959.8250000000003
27,8,2962.8250000000003
27,7,2961.8250000000003
27,6,2960.8250000000003
27,4,2958.8250000000003
27,0,2954.8250000000003
27,2,2956.8250000000003
27,1,2955.8250000000003
27,3,2957.8250000000003
28,0,2954.8
28,1,2955.8
28,2,2956.8
28,3,2957.8
28,4,2958.8
28,5,2959.8
28,6,2960.8
28,7,2961.8
28,8,2962.8
29,8,2962.4750000000004
29,6,2960.4750000000004
29,7,2961.4750000000004
29,4,2958.4750000000004
29,5,2959.4750000000004
29,2,2956.4750000000004
29,1,2955.4750000000004
29,0,2954.4750000000004
29,3,2957.4750000000004
30,8,2962.5
30,6,2960.5
30,5,2959.5
30,4,2958.5
30,7,2961.5
30,2,2956.5
30,1,2955.5
30,0,2954.5
30,3,2957.5
31,8,2962.5
31,7,2961.5
31,6,2960.5
31,5,2959.5
31,4,2958.5
31,3,2957.5
31,1,2955.5
31,0,2954.5
31,2,2956.5
32,8,2962.125
32,6,2960.125
32,7,2961.125
32,4,2958.125
32,5,2959.125
32,2,2956.125
32,3,2957.125
32,1,2955.125
32,0,2954.125
33,8,2962.1000000000004
33,7,2961.1000000000004
33,6,2960.1000000000004
33,5,2959.1000000000004
33,4,2958.1000000000004
33,3,2957.1000000000004
33,2,2956.1000000000004
33,1,2955.1000000000004
33,0,2954.1000000000004
34,7,2962.7250000000004
34,6,2961.7250000000004
34,5,2960.7250000000004
34,4,2959.7250000000004
34,8,2963.7250000000004
34,2,2957.7250000000004
34,1,2956.7250000000004
34,0,2955.7250000000004
34,3,2958.7250000000004
35,7,2962.5750000000003
35,6,2961.5750000000003
35,5,2960.5750000000003
35,4,2959.5750000000003
35,8,2963.5750000000003
35,2,2957.5750000000003
35,1,2956.5750000000003
35,0,2955.5750000000003
35,3,2958.5750000000003
36,8,2963.425
36,7,2962.425
36,6,2961.425
36,5,2960.425
36,4,2959.425
36,3,2958.425
36,1,2956.425
36,0,2955.425
36,2,2957.425
37,5,2960.4
37,8,2963.4
37,7,2962.4
37,6,2961.4
37,4,2959.4
37,2,2957.4
37,3,2958.4
37,1,2956.4
37,0,2955.4
38,7,2962.3
38,6,2961.3
38,5,2960.3
38,4,2959.3
38,8,2963.3
38,2,2957.3
38,1,2956.3
38,0,2955.3
38,3,2958.3
39,8,2963.4
39,7,2962.4
39,6,2961.4
39,5,2960.4
39,4,2959.4
39,3,2958.4
39,1,2956.4
39,0,2955.4
39,2,2957.4
40,5,2960.125
40,8,2963.125
40,7,2962.125
40,6,2961.125
40,3,2958.125
40,2,2957.125
40,1,2956.125
40,0,2955.125
40,4,2959.125
41,6,2961.025
41,0,2955.025
41,1,2956.025
41,2,2957.025
41,3,2958.025
41,4,2959.025
41,5,2960.025
41,7,2962.025
41,8,2963.025
42,6,2960.925
42,5,2959.925
42,4,2958.925
42,3,2957.925
42,7,2961.925
42,1,2955.925
42,0,2954.925
42,2,2956.925
42,8,2962.925
43,7,2961.9500000000003
43,8,2962.9500000000003
43,6,2960.9500000000003
43,5,2959.9500000000003
43,1,2955.9500000000003
43,3,2957.9500000000003
43,2,2956.9500000000003
43,0,2954.9500000000003
43,4,2958.9500000000003
44,8,2962.8250000000003
44,7,2961.8250000000003
44,6,2960.8250000000003
44,5,2959.8250000000003
44,4,2958.8250000000003
44,3,2957.8250000000003
44,2,2956.8250000000003
44,1,2955.8250000000003
44,0,2954.8250000000003
45,7,2961.8
45,6,2960.8
45,5,2959.8
45,4,2958.8
45,8,2962.8
45,2,2956.8
45,1,2955.8
45,0,2954.8
45,3,2957.8
46,7,2961.4750000000004
46,6,2960.4750000000004
46,5,2959.4750000000004
46,4,2958.4750000000004
46,8,2962.4750000000004
46,2,2956.4750000000004
46,1,2955.4750000000004
46,0,2954.4750000000004
46,3,2957.4750000000004
47,8,2962.5
47,7,2961.5
47,6,2960.5
47,5,2959.5
47,4,2958.5
47,2,2956.5
47,1,2955.5
47,0,2954.5
47,3,2957.5
48,6,2960.5
48,7,2961.5
48,8,2962.5
48,5,2959.5
48,1,2955.5
48,3,2957.5
48,2,2956.5
48,0,2954.5
48,4,2958.5
49,8,2962.125
49,7,2961.125
49,6,2960.125
49,5,2959.125
49,4,2958.125
49,3,2957.125
49,2,2956.125
49,1,2955.125
49,0,2954.125
50,7,2961.1000000000004
50,8,2962.1000000000004
50,5,2959.1000000000004
50,4,2958.1000000000004
50,6,2960.1000000000004
50,2,2956.1000000000004
50,1,2955.1000000000004
50,0,2954.1000000000004
50,3,2957.1000000000004
51,8,2963.7250000000004
51,7,2962.7250000000004
51,5,2960.7250000000004
51,4,2959.7250000000004
51,6,2961.7250000000004
51,2,2957.7250000000004
51,1,2956.7250000000004
51,0,2955.7250000000004
51,3,2958.7250000000004
52,7,2962.5750000000003
52,0,2955.5750000000003
52,2,2957.5750000000003
52,3,2958.5750000000003
52,4,2959.5750000000003
52,5,2960.5750000000003
52,6,2961.5750000000003
52,8,2963.5750000000003
52,1,2956.5750000000003
53,7,2962.425
53,0,2955.425
53,1,2956.425
53,2,2957.425
53,3,2958.425
53,4,2959.425
53,5,2960.425
53,6,2961.425
53,8,2963.425
54,7,2962.4
54,6,2961.4
54,5,2960.4
54,3,2958.4
54,2,2957.4
54,8,2963.4
54,4,2959.4
54,1,2956.4
54,0,2955.4
55,4,2959.3
55,0,2955.3
55,1,2956.3
55,2,2957.3
55,3,2958.3
55,5,2960.3
55,6,2961.3
55,7,2962.3
55,8,2963.3
56,8,2963.4
56,1,2956.4
56,0,2955.4
56,7,2962.4
56,6,2961.4
56,5,2960.4
56,4,2959.4
56,3,2958.4
56,2,2957.4
57,0,2955.125
57,3,2958.125
57,4,2959.125
57,5,2960.125
57,6,2961.125
57,7,2962.125
57,8,2963.125
57,1,2956.125
57,2,2957.125
58,8,2963.025
58,7,2962.025
58,6,2961.025
58,5,2960.025
58,4,2959.025
58,3,2958.025
58,1,2956.025
58,0,2955.025
58,2,2957.025
59,7,2961.925
59,8,2962.925
59,5,2959.925
59,0,2954.925
59,1,2955.925
59,2,2956.925
59,3,2957.925
59,4,2958.925
59,6,2960.925
60,6,2960.9500000000003
60,5,2959.9500000000003
60,4,2958.9500000000003
60,3,2957.9500000000003
60,2,2956.9500000000003
60,7,2961.9500000000003
60,0,2954.9500000000003
60,8,2962.9500000000003
60,1,2955.9500000000003
61,8,2962.8250000000003
61,0,2954.8250000000003
61,1,2955.8250000000003
61,2,2956.8250000000003
61,3,2957.8250000000003
61,4,2958.8250000000003
61,5,2959.8250000000003
61,7,2961.8250000000003
61,6,2960.8250000000003
62,8,2962.8
62,0,2954.8
62,1,2955.8
62,2,2956.8
62,3,2957.8
62,5,2959.8
62,6,2960.8
62,7,2961.8
62,4,2958.8
63,7,2961.4750000000004
63,6,2960.4750000000004
63,5,2959.4750000000004
63,0,2954.4750000000004
63,4,2958.4750000000004
63,3,2957.4750000000004
63,2,2956.4750000000004
63,1,2955.4750000000004
63,8,2962.4750000000004
64,8,2962.5
64,7,2961.5
64,6,2960.5
64,1,2955.5
64,4,2958.5
64,2,2956.5
64,5,2959.5
64,0,2954.5
64,3,2957.5
65,6,2960.5
65,1,2955.5
65,2,2956.5
65,3,2957.5
65,4,2958.5
65,8,2962.5
65,7,2961.5
65,0,2954.5
65,5,2959.5
66,8,2962.125
66,7,2961.125
66,6,2960.125
66,3,2957.125
66,4,2958.125
66,2,2956.125
66,1,2955.125
66,0,2954.125
66,5,2959.125
67,0,2954.1000000000004
67,2,2956.1000000000004
67,1,2955.1000000000004
67,4,2958.1000000000004
67,6,2960.1000000000004
67,7,2961.1000000000004
67,8,2962.1000000000004
67,3,2957.1000000000004
67,5,2959.1000000000004
68,0,2955.7250000000004
68,1,2956.7250000000004
68,2,2957.7250000000004
68,3,2958.7250000000004
68,4,2959.7250000000004
68,5,2960.7250000000004
68,6,2961.7250000000004
68,7,2962.7250000000004
68,8,2963.7250000000004
69,2,2957.5750000000003
69,0,2955.5750000000003
69,1,2956.5750000000003
69,6,2961.5750000000003
69,3,2958.5750000000003
69,7,2962.5750000000003
69,8,2963.5750000000003
69,5,2960.5750000000003
69,4,2959.5750000000003
70,1,2956.425
70,8,2963.425
70,7,2962.425
70,6,2961.425
70,0,2955.425
70,4,2959.425
70,3,2958.425
70,5,2960.425
70,2,2957.425
71,8,2963.4
71,7,2962.4
71,5,2960.4
71,6,2961.4
71,3,2958.4
71,2,2957.4
71,1,2956.4
71,0,2955.4
71,4,2959.4
72,8,2963.3
72,7,2962.3
72,6,2961.3
72,4,2959.3
72,5,2960.3
72,1,2956.3
72,3,2958.3
72,2,2957.3
72,0,2955.3
73,7,2962.4
73,8,2963.4
73,6,2961.4
73,4,2959.4
73,5,2960.4
73,2,2957.4
73,1,2956.4
73,0,2955.4
73,3,2958.4
74,7,2962.125
74,0,2955.125
74,1,2956.125
74,2,2957.125
74,3,2958.125
74,4,2959.125
74,8,2963.125
74,6,2961.125
74,5,2960.125
75,8,2963.025
75,7,2962.025
75,5,2960.025
75,4,2959.025
75,6,2961.025
75,2,2957.025
75,1,2956.025
75,0,2955.025
75,3,2958.025
76,5,2959.925
76,7,2961.925
76,3,2957.925
76,2,2956.925
76,1,2955.925
76,0,2954.925
76,8,2962.925
76,4,2958.925
76,6,2960.925
77,1,2955.9500000000003
77,2,2956.9500000000003
77,3,2957.9500000000003
77,5,2959.9500000000003
77,6,2960.9500000000003
77,7,2961.9500000000003
77,8,2962.9500000000003
77,0,2954.9500000000003
77,4,2958.9500000000003
78,6,2960.8250000000003
78,7,2961.8250000000003
78,5,2959.8250000000003
78,4,2958.8250000000003
78,3,2957.8250000000003
78,2,2956.8250000000003
78,1,2955.8250000000003
78,0,2954.8250000000003
78,8,2962.8250000000003
79,7,2961.8
79,0,2954.8
79,1,2955.8
79,2,2956.8
79,8,2962.8
79,4,2958.8
79,5,2959.8
79,6,2960.8
79,3,2957.8
80,7,2961.4750000000004
80,0,2954.4750000000004
80,1,2955.4750000000004
80,2,2956.4750000000004
80,3,2957.4750000000004
80,4,2958.4750000000004
80,5,2959.4750000000004
80,6,2960.4750000000004
80,8,2962.4750000000004
81,2,2956.5
81,3,2957.5
81,4,2958.5
81,7,2961.5
81,5,2959.5
81,6,2960.5
81,8,2962.5
81,0,2954.5
81,1,2955.5
82,6,2960.5
82,1,2955.5
82,2,2956.5
82,3,2957.5
82,4,2958.5
82,5,2959.5
82,7,2961.5
82,8,2962.5
82,0,2954.5
83,6,2960.125
83,7,2961.125
83,0,2954.125
83,1,2955.125
83,2,2956.125
83,3,2957.125
83,4,2958.125
83,5,2959.125
83,8,2962.125
84,1,2955.1000000000004
84,8,2962.1000000000004
84,7,2961.1000000000004
84,6,2960.1000000000004
84,5,2959.1000000000004
84,0,2954.1000000000004
84,4,2958.1000000000004
84,3,2957.1000000000004
84,2,2956.1000000000004
85,8,2963.7250000000004
85,7,2962.7250000000004
85,5,2960.7250000000004
85,4,2959.7250000000004
85,3,2958.7250000000004
85,2,2957.7250000000004
85,1,2956.7250000000004
85,6,2961.7250000000004
85,0,2955.7250000000004
86,7,2962.5750000000003
86,0,2955.5750000000003
86,5,2960.5750000000003
86,4,2959.5750000000003
86,3,2958.5750000000003
86,2,2957.5750000000003
86,1,2956.5750000000003
86,8,2963.5750000000003
86,6,2961.5750000000003
87,2,2957.425
87,0,2955.425
87,1,2956.425
87,4,2959.425
87,5,2960.425
87,6,2961.425
87,3,2958.425
87,8,2963.425
87,7,2962.425
88,0,2955.4
88,1,2956.4
88,7,2962.4
88,6,2961.4
88,5,2960.4
88,4,2959.4
88,3,2958.4
88,2,2957.4
88,8,2963.4
89,5,2960.3
89,7,2962.3
89,3,2958.3
89,4,2959.3
89,0,2955.3
89,6,2961.3
89,8,2963.3
89,2,2957.3
89,1,2956.3
90,0,2955.4
90,7,2962.4
90,8,2963.4
90,1,2956.4
90,2,2957.4
90,5,2960.4
90,4,2959.4
90,3,2958.4
90,6,2961.4
91,8,2963.125
91,7,2962.125
91,4,2959.125
91,3,2958.125
91,2,2957.125
91,1,2956.125
91,0,2955.125
91,5,2960.125
91,6,2961.125
92,4,2959.025
92,8,2963.025
92,3,2958.025
92,6,2961.025
92,1,2956.025
92,5,2960.025
92,2,2957.025
92,7,2962.025
92,0,2955.025
93,8,2962.925
93,7,2961.925
93,6,2960.925
93,5,2959.925
93,0,2954.925
93,4,2958.925
93,3,2957.925
93,2,2956.925
93,1,2955.925
94,8,2962.9500000000003
94,3,2957.9500000000003
94,4,2958.9500000000003
94,5,2959.9500000000003
94,6,2960.9500000000003
94,0,2954.9500000000003
94,1,2955.9500000000003
94,7,2961.9500000000003
94,2,2956.9500000000003
95,4,2958.8250000000003
95,8,2962.8250000000003
95,7,2961.8250000000003
95,0,2954.8250000000003
95,6,2960.8250000000003
95,5,2959.8250000000003
95,3,2957.8250000000003
95,2,2956.8250000000003
95,1,2955.8250000000003
96,0,2954.8
96,3,2957.8
96,1,2955.8
96,2,2956.8
96,4,2958.8
96,5,2959.8
96,6,2960.8
96,7,2961.8
96,8,2962.8
97,7,2961.4750000000004
97,4,2958.4750000000004
97,3,2957.4750000000004
97,8,2962.4750000000004
97,0,2954.4750000000004
97,1,2955.4750000000004
97,2,2956.4750000000004
97,6,2960.4750000000004
97,5,2959.4750000000004
98,5,2959.5
98,0,2954.5
98,1,2955.5
98,2,2956.5
98,3,2957.5
98,4,2958.5
98,6,2960.5
98,7,2961.5
98,8,2962.5
99,5,2959.5
99,6,2960.5
99,7,2961.5
99,4,2958.5
99,0,2954.5
99,2,2956.5
99,3,2957.5
99,8,2962.5
99,1,2955.5
100,2,2956.125
100,1,2955.125
100,7,2961.125
100,6,2960.125
100,5,2959.125
100,4,2958.125
100,3,2957.125
100,0,2954.125
100,8,2962.125
101,1,2955.1000000000004
101,6,2960.1000000000004
101,4,2958.1000000000004
101,3,2957.1000000000004
101,7,2961.1000000000004
101,8,2962.1000000000004
101,2,2956.1000000000004
101,0,2954.1000000000004
101,5,2959.1000000000004
102,3,2958.7250000000004
102,4,2959.7250000000004
102,1,2956.7250000000004
102,7,2962.7250000000004
102,6,2961.7250000000004
102,8,2963.7250000000004
102,5,2960.7250000000004
102,2,2957.7250000000004
102,0,2955.7250000000004
103,8,2963.5750000000003
103,0,2955.5750000000003
103,7,2962.5750000000003
103,5,2960.5750000000003
103,1,2956.5750000000003
103,2,2957.5750000000003
103,3,2958.5750000000003
103,4,2959.5750000000003
103,6,2961.5750000000003
104,4,2959.425
104,5,2960.425
104,6,2961.425
104,7,2962.425
104,8,2963.425
104,1,2956.425
104,0,2955.425
104,2,2957.425
104,3,2958.425
105,4,2959.4
105,2,2957.4
105,0,2955.4
105,1,2956.4
105,8,2963.4
105,5,2960.4
105,6,2961.4
105,3,2958.4
105,7,2962.4
106,4,2959.3
106,5,2960.3
106,6,2961.3
106,7,2962.3
106,3,2958.3
106,2,2957.3
106,1,2956.3
106,0,2955.3
106,8,2963.3
107,8,2963.4
107,7,2962.4
107,6,2961.4
107,5,2960.4
107,4,2959.4
107,3,2958.4
107,2,2957.4
107,1,2956.4
107,0,2955.4
108,7,2962.125
108,8,2963.125
108,6,2961.125
108,5,2960.125
108,4,2959.125
108,2,2957.125
108,1,2956.125
108,0,2955.125
108,3,2958.125
109,1,2956.025
109,5,2960.025
109,4,2959.025
109,3,2958.025
109,2,2957.025
109,0,2955.025
109,7,2962.025
109,6,2961.025
109,8,2963.025
110,1,2955.925
110,0,2954.925
110,4,2958.925
110,5,2959.925
110,6,2960.925
110,7,2961.925
110,8,2962.925
110,2,2956.925
110,3,2957.925
111,8,2962.9500000000003
111,5,2959.9500000000003
111,4,2958.9500000000003
111,3,2957.9500000000003
111,2,2956.9500000000003
111,1,2955.9500000000003
111,0,2954.9500000000003
111,6,2960.9500000000003
111,7,2961.9500000000003
112,6,2960.8250000000003
112,5,2959.8250000000003
112,4,2958.8250000000003
112,2,2956.8250000000003
112,1,2955.8250000000003
112,0,2954.8250000000003
112,8,2962.8250000000003
112,7,2961.8250000000003
112,3,2957.8250000000003
113,8,2962.8
113,1,2955.8
113,7,2961.8
113,6,2960.8
113,5,2959.8
113,4,2958.8
113,2,2956.8
113,3,2957.8
113,0,2954.8
114,8,2962.4750000000004
114,7,2961.4750000000004
114,6,2960.4750000000004
114,5,2959.4750000000004
114,4,2958.4750000000004
114,2,2956.4750000000004
114,1,2955.4750000000004
114,3,2957.4750000000004
114,0,2954.4750000000004
115,5,2959.5
115,4,2958.5
115,6,2960.5
115,0,2954.5
115,7,2961.5
115,2,2956.5
115,3,2957.5
115,1,2955.5
115,8,2962.5
116,8,2962.5
116,7,2961.5
116,0,2954.5
116,1,2955.5
116,2,2956.5
116,3,2957.5
116,4,2958.5
116,5,2959.5
116,6,2960.5
117,4,2958.125
117,8,2962.125
117,6,2960.125
117,5,2959.125
117,3,2957.125
117,2,2956.125
117,1,2955.125
117,0,2954.125
117,7,2961.125
118,7,2961.1000000000004
118,0,2954.1000000000004
118,1,2955.1000000000004
118,2,2956.1000000000004
118,3,2957.1000000000004
118,4,2958.1000000000004
118,8,2962.1000000000004
118,5,2959.1000000000004
118,6,2960.1000000000004
119,4,2959.7250000000004
119,0,2955.7250000000004
119,1,2956.7250000000004
119,2,2957.7250000000004
119,3,2958.7250000000004
119,5,2960.7250000000004
119,8,2963.7250000000004
119,7,2962.7250000000004
119,6,2961.7250000000004
120,1,2956.5750000000003
120,0,2955.5750000000003
120,6,2961.5750000000003
120,5,2960.5750000000003
120,4,2959.5750000000003
120,8,2963.5750000000003
120,3,2958.5750000000003
120,2,2957.5750000000003
120,7,2962.5750000000003
121,2,2957.425
121,3,2958.425
121,4,2959.425
121,5,2960.425
121,6,2961.425
121,7,2962.425
121,8,2963.425
121,0,2955.425
121,1,2956.425
122,0,2955.4
122,1,2956.4
122,2,2957.4
122,3,2958.4
122,4,2959.4
122,5,2960.4
122,6,2961.4
122,7,2962.4
122,8,2963.4
123,3,2958.3
123,7,2962.3
123,6,2961.3
123,5,2960.3
123,8,2963.3
123,2,2957.3
123,1,2956.3
123,0,2955.3
123,4,2959.3
124,0,2955.4
124,7,2962.4
124,6,2961.4
124,5,2960.4
124,4,2959.4
124,3,2958.4
124,2,2957.4
124,1,2956.4
124,8,2963.4
125,5,2960.125
125,0,2955.125
125,7,2962.125
125,6,2961.125
125,4,2959.125
125,3,2958.125
125,2,2957.125
125,1,2956.125
125,8,2963.125
126,7,2962.025
126,0,2955.025
126,5,2960.025
126,4,2959.025
126,3,2958.025
126,2,2957.025
126,1,2956.025
126,6,2961.025
126,8,2963.025
127,6,2960.925
127,5,2959.925
127,4,2958.925
127,0,2954.925
127,3,2957.925
127,1,2955.925
127,2,2956.925
127,7,2961.925
127,8,2962.925
128,3,2957.9500000000003
128,8,2962.9500000000003
128,0,2954.9500000000003
128,1,2955.9500000000003
128,2,2956.9500000000003
128,4,2958.9500000000003
128,5,2959.9500000000003
128,6,2960.9500000000003
128,7,2961.9500000000003
129,6,2960.8250000000003
129,7,2961.8250000000003
129,8,2962.8250000000003
129,0,2954.8250000000003
129,4,2958.8250000000003
129,3,2957.8250000000003
129,2,2956.8250000000003
129,1,2955.8250000000003
129,5,2959.8250000000003
130,2,2956.8
130,1,2955.8
130,0,2954.8
130,4,2958.8
130,5,2959.8
130,6,2960.8
130,7,2961.8
130,8,2962.8
130,3,2957.8
131,7,2961.4750000000004
131,4,2958.4750000000004
131,8,2962.4750000000004
131,6,2960.4750000000004
131,5,2959.4750000000004
131,3,2957.4750000000004
131,2,2956.4750000000004
131,0,2954.4750000000004
131,1,2955.4750000000004
132,8,2962.5
132,7,2961.5
132,6,2960.5
132,5,2959.5
132,4,2958.5
132,3,2957.5
132,2,2956.5
132,1,2955.5
132,0,2954.5
133,7,2961.5
133,6,2960.5
133,4,2958.5
133,3,2957.5
133,2,2956.5
133,1,2955.5
133,0,2954.5
133,8,2962.5
133,5,2959.5
134,7,2961.125
134,0,2954.125
134,1,2955.125
134,3,2957.125
134,4,2958.125
134,5,2959.125
134,6,2960.125
134,8,2962.125
134,2,2956.125
135,3,2957.1000000000004
135,6,2960.1000000000004
135,0,2954.1000000000004
135,1,2955.1000000000004
135,2,2956.1000000000004
135,8,2962.1000000000004
135,4,2958.1000000000004
135,5,2959.1000000000004
135,7,2961.1000000000004
136,8,2963.7250000000004
136,7,2962.7250000000004
136,6,2961.7250000000004
136,5,2960.7250000000004
136,2,2957.7250000000004
136,4,2959.7250000000004
136,3,2958.7250000000004
136,0,2955.7250000000004
136,1,2956.7250000000004
137,5,2960.5750000000003
137,4,2959.5750000000003
137,3,2958.5750000000003
137,2,2957.5750000000003
137,1,2956.5750000000003
137,0,2955.5750000000003
137,7,2962.5750000000003
137,6,2961.5750000000003
137,8,2963.5750000000003
138,8,2963.425
138,0,2955.425
138,1,2956.425
138,2,2957.425
138,7,2962.425
138,6,2961.425
138,5,2960.425
138,3,2958.425
138,4,2959.425
139,7,2962.4
139,8,2963.4
139,4,2959.4
139,6,2961.4
139,5,2960.4
139,3,2958.4
139,2,2957.4
139,1,2956.4
139,0,2955.4
140,0,2955.3
140,1,2956.3
140,3,2958.3
140,4,2959.3
140,5,2960.3
140,6,2961.3
140,7,2962.3
140,8,2963.3
140,2,2957.3
141,3,2958.4
141,2,2957.4
141,1,2956.4
141,0,2955.4
141,8,2963.4
141,7,2962.4
141,6,2961.4
141,5,2960.4
141,4,2959.4
142,1,2956.125
142,0,2955.125
142,8,2963.125
142,7,2962.125
142,6,2961.125
142,5,2960.125
142,4,2959.125
142,3,2958.125
142,2,2957.125
143,6,2961.025
143,8,2963.025
143,5,2960.025
143,7,2962.025
143,4,2959.025
143,3,2958.025
143,2,2957.025
143,1,2956.025
143,0,2955.025
144,6,2960.925
144,5,2959.925
144,3,2957.925
144,7,2961.925
144,1,2955.925
144,0,2954.925
144,8,2962.925
144,2,2956.925
144,4,2958.925
145,1,2955.9500000000003
145,0,2954.9500000000003
145,6,2960.9500000000003
145,3,2957.9500000000003
145,4,2958.9500000000003
145,8,2962.9500000000003
145,7,2961.9500000000003
145,5,2959.9500000000003
145,2,2956.9500000000003
146,2,2956.8250000000003
146,3,2957.8250000000003
146,4,2958.8250000000003
146,5,2959.8250000000003
146,6,2960.8250000000003
146,7,2961.8250000000003
146,8,2962.8250000000003
146,1,2955.8250000000003
146,0,2954.8250000000003
147,3,2957.8
147,2,2956.8
147,8,2962.8
147,6,2960.8
147,7,2961.8
147,4,2958.8
147,0,2954.8
147,1,2955.8
147,5,2959.8
148,0,2954.4750000000004
148,1,2955.4750000000004
148,3,2957.4750000000004
148,4,2958.4750000000004
148,5,2959.4750000000004
148,6,2960.4750000000004
148,7,2961.4750000000004
